query,name,region,country,lat,lon,tz_id,localtime_epoch,localtime,last_updated_epoch,last_updated,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,uv,gust_mph,gust_kph,date,day,maxtemp_c,mintemp_c,avgtemp_c,maxwind_kph,totalprecip_mm,avgvis_km,avghumidity,daily_will_it_rain,daily_chance_of_rain,daily_will_it_snow,daily_chance_of_snow,condition_text,condition_icon,condition_code
"BELEM, PARA, BRAZIL",Belem,Para,Brazil,-1.45,-48.48,America/Belem,1703801630,2023-12-28 19:13,1703800800,2023-12-28 19:00,25.0,77.0,0,"{'text': 'Patchy light rain with thunder', 'icon': '//cdn.weatherapi.com/weather/64x64/night/386.png', 'code': 1273}",11.9,19.1,80,E,1010.0,29.83,0.04,0.0,94,75,28.0,82.4,3.0,1.0,1.0,16.3,26.3,2023-12-28,"{'maxtemp_c': 30.7, 'maxtemp_f': 87.3, 'mintemp_c': 23.9, 'mintemp_f': 75.0, 'avgtemp_c': 26.3, 'avgtemp_f': 79.3, 'maxwind_mph': 6.5, 'maxwind_kph': 10.4, 'totalprecip_mm': 6.58, 'totalprecip_in': 0.26, 'totalsnow_cm': 0.0, 'avgvis_km': 7.3, 'avgvis_miles': 4.0, 'avghumidity': 86.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 89, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Moderate rain', 'icon': '//cdn.weatherapi.com/weather/64x64/day/302.png', 'code': 1189}, 'uv': 6.0}",30.7,23.9,26.3,10.4,6.58,7.3,86.0,1,89,0,0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png,1189
"BELEM, PARA, BRAZIL",Belem,Para,Brazil,-1.45,-48.48,America/Belem,1703801630,2023-12-28 19:13,1703800800,2023-12-28 19:00,25.0,77.0,0,"{'text': 'Patchy light rain with thunder', 'icon': '//cdn.weatherapi.com/weather/64x64/night/386.png', 'code': 1273}",11.9,19.1,80,E,1010.0,29.83,0.04,0.0,94,75,28.0,82.4,3.0,1.0,1.0,16.3,26.3,2023-12-29,"{'maxtemp_c': 31.3, 'maxtemp_f': 88.3, 'mintemp_c': 23.9, 'mintemp_f': 75.1, 'avgtemp_c': 26.6, 'avgtemp_f': 79.8, 'maxwind_mph': 7.4, 'maxwind_kph': 11.9, 'totalprecip_mm': 5.23, 'totalprecip_in': 0.21, 'totalsnow_cm': 0.0, 'avgvis_km': 7.5, 'avgvis_miles': 4.0, 'avghumidity': 86.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 89, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Moderate rain', 'icon': '//cdn.weatherapi.com/weather/64x64/day/302.png', 'code': 1189}, 'uv': 6.0}",31.3,23.9,26.6,11.9,5.23,7.5,86.0,1,89,0,0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png,1189
"BELEM, PARA, BRAZIL",Belem,Para,Brazil,-1.45,-48.48,America/Belem,1703801630,2023-12-28 19:13,1703800800,2023-12-28 19:00,25.0,77.0,0,"{'text': 'Patchy light rain with thunder', 'icon': '//cdn.weatherapi.com/weather/64x64/night/386.png', 'code': 1273}",11.9,19.1,80,E,1010.0,29.83,0.04,0.0,94,75,28.0,82.4,3.0,1.0,1.0,16.3,26.3,2023-12-30,"{'maxtemp_c': 31.1, 'maxtemp_f': 88.0, 'mintemp_c': 24.0, 'mintemp_f': 75.2, 'avgtemp_c': 26.9, 'avgtemp_f': 80.4, 'maxwind_mph': 9.6, 'maxwind_kph': 15.5, 'totalprecip_mm': 3.52, 'totalprecip_in': 0.14, 'totalsnow_cm': 0.0, 'avgvis_km': 8.0, 'avgvis_miles': 4.0, 'avghumidity': 84.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 87, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",31.1,24.0,26.9,15.5,3.52,8.0,84.0,1,87,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"PORTO VELHO, RONDÔNIA, BRAZIL",Porto Velho,Bahia,Brazil,-13.6,-41.08,America/Bahia,1703801636,2023-12-28 19:13,1703800800,2023-12-28 19:00,27.8,82.0,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",5.4,8.6,92,E,1012.0,29.89,0.0,0.0,47,10,28.2,82.8,10.0,6.0,1.0,8.9,14.4,2023-12-28,"{'maxtemp_c': 35.2, 'maxtemp_f': 95.4, 'mintemp_c': 19.8, 'mintemp_f': 67.6, 'avgtemp_c': 27.1, 'avgtemp_f': 80.8, 'maxwind_mph': 6.0, 'maxwind_kph': 9.7, 'totalprecip_mm': 0.01, 'totalprecip_in': 0.0, 'totalsnow_cm': 0.0, 'avgvis_km': 10.0, 'avgvis_miles': 6.0, 'avghumidity': 57.0, 'daily_will_it_rain': 0, 'daily_chance_of_rain': 0, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'uv': 7.0}",35.2,19.8,27.1,9.7,0.01,10.0,57.0,0,0,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
"PORTO VELHO, RONDÔNIA, BRAZIL",Porto Velho,Bahia,Brazil,-13.6,-41.08,America/Bahia,1703801636,2023-12-28 19:13,1703800800,2023-12-28 19:00,27.8,82.0,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",5.4,8.6,92,E,1012.0,29.89,0.0,0.0,47,10,28.2,82.8,10.0,6.0,1.0,8.9,14.4,2023-12-29,"{'maxtemp_c': 35.0, 'maxtemp_f': 95.0, 'mintemp_c': 20.0, 'mintemp_f': 68.0, 'avgtemp_c': 26.9, 'avgtemp_f': 80.5, 'maxwind_mph': 6.7, 'maxwind_kph': 10.8, 'totalprecip_mm': 0.0, 'totalprecip_in': 0.0, 'totalsnow_cm': 0.0, 'avgvis_km': 10.0, 'avgvis_miles': 6.0, 'avghumidity': 54.0, 'daily_will_it_rain': 0, 'daily_chance_of_rain': 0, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'uv': 7.0}",35.0,20.0,26.9,10.8,0.0,10.0,54.0,0,0,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
"PORTO VELHO, RONDÔNIA, BRAZIL",Porto Velho,Bahia,Brazil,-13.6,-41.08,America/Bahia,1703801636,2023-12-28 19:13,1703800800,2023-12-28 19:00,27.8,82.0,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",5.4,8.6,92,E,1012.0,29.89,0.0,0.0,47,10,28.2,82.8,10.0,6.0,1.0,8.9,14.4,2023-12-30,"{'maxtemp_c': 37.4, 'maxtemp_f': 99.4, 'mintemp_c': 19.8, 'mintemp_f': 67.7, 'avgtemp_c': 27.5, 'avgtemp_f': 81.6, 'maxwind_mph': 7.6, 'maxwind_kph': 12.2, 'totalprecip_mm': 0.42, 'totalprecip_in': 0.02, 'totalsnow_cm': 0.0, 'avgvis_km': 10.0, 'avgvis_miles': 6.0, 'avghumidity': 56.0, 'daily_will_it_rain': 0, 'daily_chance_of_rain': 69, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",37.4,19.8,27.5,12.2,0.42,10.0,56.0,0,69,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"TERESINA, PIAUI, BRAZIL",Teresina,Piaui,Brazil,-5.08,-42.82,America/Fortaleza,1703801633,2023-12-28 19:13,1703800800,2023-12-28 19:00,31.0,87.8,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",4.3,6.8,210,SSW,1007.0,29.74,0.0,0.0,66,75,36.6,97.9,10.0,6.0,1.0,5.2,8.3,2023-12-28,"{'maxtemp_c': 37.4, 'maxtemp_f': 99.4, 'mintemp_c': 23.8, 'mintemp_f': 74.8, 'avgtemp_c': 29.2, 'avgtemp_f': 84.6, 'maxwind_mph': 6.7, 'maxwind_kph': 10.8, 'totalprecip_mm': 2.95, 'totalprecip_in': 0.12, 'totalsnow_cm': 0.0, 'avgvis_km': 8.9, 'avgvis_miles': 5.0, 'avghumidity': 68.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 88, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",37.4,23.8,29.2,10.8,2.95,8.9,68.0,1,88,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"TERESINA, PIAUI, BRAZIL",Teresina,Piaui,Brazil,-5.08,-42.82,America/Fortaleza,1703801633,2023-12-28 19:13,1703800800,2023-12-28 19:00,31.0,87.8,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",4.3,6.8,210,SSW,1007.0,29.74,0.0,0.0,66,75,36.6,97.9,10.0,6.0,1.0,5.2,8.3,2023-12-29,"{'maxtemp_c': 36.9, 'maxtemp_f': 98.4, 'mintemp_c': 23.4, 'mintemp_f': 74.1, 'avgtemp_c': 28.7, 'avgtemp_f': 83.6, 'maxwind_mph': 6.9, 'maxwind_kph': 11.2, 'totalprecip_mm': 11.79, 'totalprecip_in': 0.46, 'totalsnow_cm': 0.0, 'avgvis_km': 9.2, 'avgvis_miles': 5.0, 'avghumidity': 69.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 90, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Moderate rain', 'icon': '//cdn.weatherapi.com/weather/64x64/day/302.png', 'code': 1189}, 'uv': 6.0}",36.9,23.4,28.7,11.2,11.79,9.2,69.0,1,90,0,0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png,1189
"TERESINA, PIAUI, BRAZIL",Teresina,Piaui,Brazil,-5.08,-42.82,America/Fortaleza,1703801633,2023-12-28 19:13,1703800800,2023-12-28 19:00,31.0,87.8,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",4.3,6.8,210,SSW,1007.0,29.74,0.0,0.0,66,75,36.6,97.9,10.0,6.0,1.0,5.2,8.3,2023-12-30,"{'maxtemp_c': 37.3, 'maxtemp_f': 99.2, 'mintemp_c': 23.6, 'mintemp_f': 74.5, 'avgtemp_c': 28.5, 'avgtemp_f': 83.3, 'maxwind_mph': 6.3, 'maxwind_kph': 10.1, 'totalprecip_mm': 1.01, 'totalprecip_in': 0.04, 'totalsnow_cm': 0.0, 'avgvis_km': 9.8, 'avgvis_miles': 6.0, 'avghumidity': 70.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 88, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",37.3,23.6,28.5,10.1,1.01,9.8,70.0,1,88,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"GOIÂNIA, GOIAS, BRAZIL",Goias,Goias,Brazil,-15.93,-50.13,America/Sao_Paulo,1703801625,2023-12-28 19:13,1703800800,2023-12-28 19:00,26.9,80.4,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",9.4,15.1,99,E,1009.0,29.81,0.0,0.0,67,29,28.7,83.7,10.0,6.0,1.0,15.3,24.6,2023-12-28,"{'maxtemp_c': 36.5, 'maxtemp_f': 97.6, 'mintemp_c': 20.9, 'mintemp_f': 69.7, 'avgtemp_c': 27.4, 'avgtemp_f': 81.3, 'maxwind_mph': 9.4, 'maxwind_kph': 15.1, 'totalprecip_mm': 0.0, 'totalprecip_in': 0.0, 'totalsnow_cm': 0.0, 'avgvis_km': 10.0, 'avgvis_miles': 6.0, 'avghumidity': 59.0, 'daily_will_it_rain': 0, 'daily_chance_of_rain': 0, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'uv': 7.0}",36.5,20.9,27.4,15.1,0.0,10.0,59.0,0,0,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
"GOIÂNIA, GOIAS, BRAZIL",Goias,Goias,Brazil,-15.93,-50.13,America/Sao_Paulo,1703801625,2023-12-28 19:13,1703800800,2023-12-28 19:00,26.9,80.4,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",9.4,15.1,99,E,1009.0,29.81,0.0,0.0,67,29,28.7,83.7,10.0,6.0,1.0,15.3,24.6,2023-12-29,"{'maxtemp_c': 34.8, 'maxtemp_f': 94.6, 'mintemp_c': 21.9, 'mintemp_f': 71.5, 'avgtemp_c': 26.3, 'avgtemp_f': 79.3, 'maxwind_mph': 13.6, 'maxwind_kph': 22.0, 'totalprecip_mm': 6.68, 'totalprecip_in': 0.26, 'totalsnow_cm': 0.0, 'avgvis_km': 9.7, 'avgvis_miles': 6.0, 'avghumidity': 69.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 82, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Moderate rain', 'icon': '//cdn.weatherapi.com/weather/64x64/day/302.png', 'code': 1189}, 'uv': 6.0}",34.8,21.9,26.3,22.0,6.68,9.7,69.0,1,82,0,0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png,1189
"GOIÂNIA, GOIAS, BRAZIL",Goias,Goias,Brazil,-15.93,-50.13,America/Sao_Paulo,1703801625,2023-12-28 19:13,1703800800,2023-12-28 19:00,26.9,80.4,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",9.4,15.1,99,E,1009.0,29.81,0.0,0.0,67,29,28.7,83.7,10.0,6.0,1.0,15.3,24.6,2023-12-30,"{'maxtemp_c': 35.0, 'maxtemp_f': 95.1, 'mintemp_c': 21.7, 'mintemp_f': 71.1, 'avgtemp_c': 26.8, 'avgtemp_f': 80.3, 'maxwind_mph': 10.3, 'maxwind_kph': 16.6, 'totalprecip_mm': 8.87, 'totalprecip_in': 0.35, 'totalsnow_cm': 0.0, 'avgvis_km': 8.8, 'avgvis_miles': 5.0, 'avghumidity': 73.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 83, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Moderate rain', 'icon': '//cdn.weatherapi.com/weather/64x64/day/302.png', 'code': 1189}, 'uv': 6.0}",35.0,21.7,26.8,16.6,8.87,8.8,73.0,1,83,0,0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png,1189
"RECIFE, PERNAMBUCO, BRAZIL",Recife,Pernambuco,Brazil,-8.05,-34.9,America/Recife,1703801632,2023-12-28 19:13,1703800800,2023-12-28 19:00,28.0,82.4,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",8.1,13.0,130,SE,1012.0,29.88,0.01,0.0,70,50,30.4,86.8,10.0,6.0,1.0,11.1,17.8,2023-12-28,"{'maxtemp_c': 29.4, 'maxtemp_f': 84.8, 'mintemp_c': 25.8, 'mintemp_f': 78.4, 'avgtemp_c': 27.3, 'avgtemp_f': 81.1, 'maxwind_mph': 11.0, 'maxwind_kph': 17.6, 'totalprecip_mm': 0.59, 'totalprecip_in': 0.02, 'totalsnow_cm': 0.0, 'avgvis_km': 10.0, 'avgvis_miles': 6.0, 'avghumidity': 68.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 88, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",29.4,25.8,27.3,17.6,0.59,10.0,68.0,1,88,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"RECIFE, PERNAMBUCO, BRAZIL",Recife,Pernambuco,Brazil,-8.05,-34.9,America/Recife,1703801632,2023-12-28 19:13,1703800800,2023-12-28 19:00,28.0,82.4,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",8.1,13.0,130,SE,1012.0,29.88,0.01,0.0,70,50,30.4,86.8,10.0,6.0,1.0,11.1,17.8,2023-12-29,"{'maxtemp_c': 29.2, 'maxtemp_f': 84.6, 'mintemp_c': 25.4, 'mintemp_f': 77.7, 'avgtemp_c': 27.1, 'avgtemp_f': 80.8, 'maxwind_mph': 11.9, 'maxwind_kph': 19.1, 'totalprecip_mm': 0.23, 'totalprecip_in': 0.01, 'totalsnow_cm': 0.0, 'avgvis_km': 10.0, 'avgvis_miles': 6.0, 'avghumidity': 67.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 89, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",29.2,25.4,27.1,19.1,0.23,10.0,67.0,1,89,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"RECIFE, PERNAMBUCO, BRAZIL",Recife,Pernambuco,Brazil,-8.05,-34.9,America/Recife,1703801632,2023-12-28 19:13,1703800800,2023-12-28 19:00,28.0,82.4,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",8.1,13.0,130,SE,1012.0,29.88,0.01,0.0,70,50,30.4,86.8,10.0,6.0,1.0,11.1,17.8,2023-12-30,"{'maxtemp_c': 30.3, 'maxtemp_f': 86.5, 'mintemp_c': 24.8, 'mintemp_f': 76.6, 'avgtemp_c': 27.2, 'avgtemp_f': 80.9, 'maxwind_mph': 13.2, 'maxwind_kph': 21.2, 'totalprecip_mm': 0.21, 'totalprecip_in': 0.01, 'totalsnow_cm': 0.0, 'avgvis_km': 10.0, 'avgvis_miles': 6.0, 'avghumidity': 69.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 79, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",30.3,24.8,27.2,21.2,0.21,10.0,69.0,1,79,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"RIO BRANCO, ACRE, BRAZIL",Rio Branco,Acre,Brazil,-9.97,-67.8,America/Rio_Branco,1703801633,2023-12-28 17:13,1703800800,2023-12-28 17:00,25.0,77.0,1,"{'text': 'Moderate or heavy rain with thunder', 'icon': '//cdn.weatherapi.com/weather/64x64/day/389.png', 'code': 1276}",12.5,20.2,360,N,1010.0,29.83,0.19,0.01,94,75,26.2,79.1,0.8,0.0,7.0,17.0,27.4,2023-12-28,"{'maxtemp_c': 36.7, 'maxtemp_f': 98.1, 'mintemp_c': 22.9, 'mintemp_f': 73.2, 'avgtemp_c': 27.9, 'avgtemp_f': 82.3, 'maxwind_mph': 8.3, 'maxwind_kph': 13.3, 'totalprecip_mm': 1.48, 'totalprecip_in': 0.06, 'totalsnow_cm': 0.0, 'avgvis_km': 9.6, 'avgvis_miles': 5.0, 'avghumidity': 72.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 88, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",36.7,22.9,27.9,13.3,1.48,9.6,72.0,1,88,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"RIO BRANCO, ACRE, BRAZIL",Rio Branco,Acre,Brazil,-9.97,-67.8,America/Rio_Branco,1703801633,2023-12-28 17:13,1703800800,2023-12-28 17:00,25.0,77.0,1,"{'text': 'Moderate or heavy rain with thunder', 'icon': '//cdn.weatherapi.com/weather/64x64/day/389.png', 'code': 1276}",12.5,20.2,360,N,1010.0,29.83,0.19,0.01,94,75,26.2,79.1,0.8,0.0,7.0,17.0,27.4,2023-12-29,"{'maxtemp_c': 32.3, 'maxtemp_f': 90.2, 'mintemp_c': 22.3, 'mintemp_f': 72.1, 'avgtemp_c': 26.2, 'avgtemp_f': 79.2, 'maxwind_mph': 9.8, 'maxwind_kph': 15.8, 'totalprecip_mm': 4.64, 'totalprecip_in': 0.18, 'totalsnow_cm': 0.0, 'avgvis_km': 8.2, 'avgvis_miles': 5.0, 'avghumidity': 79.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 88, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",32.3,22.3,26.2,15.8,4.64,8.2,79.0,1,88,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"RIO BRANCO, ACRE, BRAZIL",Rio Branco,Acre,Brazil,-9.97,-67.8,America/Rio_Branco,1703801633,2023-12-28 17:13,1703800800,2023-12-28 17:00,25.0,77.0,1,"{'text': 'Moderate or heavy rain with thunder', 'icon': '//cdn.weatherapi.com/weather/64x64/day/389.png', 'code': 1276}",12.5,20.2,360,N,1010.0,29.83,0.19,0.01,94,75,26.2,79.1,0.8,0.0,7.0,17.0,27.4,2023-12-30,"{'maxtemp_c': 35.8, 'maxtemp_f': 96.4, 'mintemp_c': 22.1, 'mintemp_f': 71.7, 'avgtemp_c': 26.6, 'avgtemp_f': 80.0, 'maxwind_mph': 5.6, 'maxwind_kph': 9.0, 'totalprecip_mm': 2.78, 'totalprecip_in': 0.11, 'totalsnow_cm': 0.0, 'avgvis_km': 9.5, 'avgvis_miles': 5.0, 'avghumidity': 75.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 82, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",35.8,22.1,26.6,9.0,2.78,9.5,75.0,1,82,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"PORTO ALEGRE, RIO GRANDE DO SUL, BRAZIL",Porto Alegre,Rio Grande do Sul,Brazil,-30.03,-51.2,America/Sao_Paulo,1703801636,2023-12-28 19:13,1703800800,2023-12-28 19:00,35.0,95.0,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",6.9,11.2,230,SW,1005.0,29.68,0.0,0.0,44,0,42.6,108.6,10.0,6.0,7.0,7.0,11.3,2023-12-28,"{'maxtemp_c': 34.9, 'maxtemp_f': 94.8, 'mintemp_c': 17.8, 'mintemp_f': 64.1, 'avgtemp_c': 26.4, 'avgtemp_f': 79.5, 'maxwind_mph': 9.2, 'maxwind_kph': 14.8, 'totalprecip_mm': 0.0, 'totalprecip_in': 0.0, 'totalsnow_cm': 0.0, 'avgvis_km': 10.0, 'avgvis_miles': 6.0, 'avghumidity': 54.0, 'daily_will_it_rain': 0, 'daily_chance_of_rain': 0, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'uv': 7.0}",34.9,17.8,26.4,14.8,0.0,10.0,54.0,0,0,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
