query,name,region,country,lat,lon,tz_id,localtime_epoch,localtime,last_updated_epoch,last_updated,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,uv,gust_mph,gust_kph,date,day,maxtemp_c,mintemp_c,avgtemp_c,maxwind_kph,totalprecip_mm,avgvis_km,avghumidity,daily_will_it_rain,daily_chance_of_rain,daily_will_it_snow,daily_chance_of_snow,condition_text,condition_icon,condition_code
"PORTO ALEGRE, RIO GRANDE DO SUL, BRAZIL",Porto Alegre,Rio Grande do Sul,Brazil,-30.03,-51.2,America/Sao_Paulo,1703801636,2023-12-28 19:13,1703800800,2023-12-28 19:00,35.0,95.0,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",6.9,11.2,230,SW,1005.0,29.68,0.0,0.0,44,0,42.6,108.6,10.0,6.0,7.0,7.0,11.3,2023-12-29,"{'maxtemp_c': 23.9, 'maxtemp_f': 75.1, 'mintemp_c': 20.6, 'mintemp_f': 69.1, 'avgtemp_c': 22.3, 'avgtemp_f': 72.1, 'maxwind_mph': 14.1, 'maxwind_kph': 22.7, 'totalprecip_mm': 35.05, 'totalprecip_in': 1.38, 'totalsnow_cm': 0.0, 'avgvis_km': 9.7, 'avgvis_miles': 6.0, 'avghumidity': 85.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 90, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Heavy rain', 'icon': '//cdn.weatherapi.com/weather/64x64/day/308.png', 'code': 1195}, 'uv': 5.0}",23.9,20.6,22.3,22.7,35.05,9.7,85.0,1,90,0,0,Heavy rain,//cdn.weatherapi.com/weather/64x64/day/308.png,1195
"PORTO ALEGRE, RIO GRANDE DO SUL, BRAZIL",Porto Alegre,Rio Grande do Sul,Brazil,-30.03,-51.2,America/Sao_Paulo,1703801636,2023-12-28 19:13,1703800800,2023-12-28 19:00,35.0,95.0,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",6.9,11.2,230,SW,1005.0,29.68,0.0,0.0,44,0,42.6,108.6,10.0,6.0,7.0,7.0,11.3,2023-12-30,"{'maxtemp_c': 22.2, 'maxtemp_f': 72.0, 'mintemp_c': 16.8, 'mintemp_f': 62.2, 'avgtemp_c': 20.0, 'avgtemp_f': 67.9, 'maxwind_mph': 9.8, 'maxwind_kph': 15.8, 'totalprecip_mm': 0.77, 'totalprecip_in': 0.03, 'totalsnow_cm': 0.0, 'avgvis_km': 10.0, 'avgvis_miles': 6.0, 'avghumidity': 71.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 88, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 4.0}",22.2,16.8,20.0,15.8,0.77,10.0,71.0,1,88,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"CAMPO GRANDE, MATO GROSSO DO SUL, BRAZIL",Campo Grande,Mato Grosso do Sul,Brazil,-20.45,-54.62,America/Campo_Grande,1703801627,2023-12-28 18:13,1703800800,2023-12-28 18:00,32.0,89.6,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",10.5,16.9,10,N,1011.0,29.85,0.0,0.0,49,50,30.8,87.4,10.0,6.0,8.0,15.0,24.1,2023-12-28,"{'maxtemp_c': 39.9, 'maxtemp_f': 103.8, 'mintemp_c': 23.5, 'mintemp_f': 74.2, 'avgtemp_c': 31.7, 'avgtemp_f': 89.0, 'maxwind_mph': 9.8, 'maxwind_kph': 15.8, 'totalprecip_mm': 0.0, 'totalprecip_in': 0.0, 'totalsnow_cm': 0.0, 'avgvis_km': 10.0, 'avgvis_miles': 6.0, 'avghumidity': 36.0, 'daily_will_it_rain': 0, 'daily_chance_of_rain': 0, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}, 'uv': 8.0}",39.9,23.5,31.7,15.8,0.0,10.0,36.0,0,0,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000
"CAMPO GRANDE, MATO GROSSO DO SUL, BRAZIL",Campo Grande,Mato Grosso do Sul,Brazil,-20.45,-54.62,America/Campo_Grande,1703801627,2023-12-28 18:13,1703800800,2023-12-28 18:00,32.0,89.6,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",10.5,16.9,10,N,1011.0,29.85,0.0,0.0,49,50,30.8,87.4,10.0,6.0,8.0,15.0,24.1,2023-12-29,"{'maxtemp_c': 40.2, 'maxtemp_f': 104.3, 'mintemp_c': 27.5, 'mintemp_f': 81.6, 'avgtemp_c': 33.3, 'avgtemp_f': 91.9, 'maxwind_mph': 15.0, 'maxwind_kph': 24.1, 'totalprecip_mm': 0.91, 'totalprecip_in': 0.04, 'totalsnow_cm': 0.0, 'avgvis_km': 10.0, 'avgvis_miles': 6.0, 'avghumidity': 33.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 88, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 7.0}",40.2,27.5,33.3,24.1,0.91,10.0,33.0,1,88,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"CAMPO GRANDE, MATO GROSSO DO SUL, BRAZIL",Campo Grande,Mato Grosso do Sul,Brazil,-20.45,-54.62,America/Campo_Grande,1703801627,2023-12-28 18:13,1703800800,2023-12-28 18:00,32.0,89.6,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",10.5,16.9,10,N,1011.0,29.85,0.0,0.0,49,50,30.8,87.4,10.0,6.0,8.0,15.0,24.1,2023-12-30,"{'maxtemp_c': 37.1, 'maxtemp_f': 98.7, 'mintemp_c': 22.6, 'mintemp_f': 72.7, 'avgtemp_c': 29.4, 'avgtemp_f': 84.8, 'maxwind_mph': 13.9, 'maxwind_kph': 22.3, 'totalprecip_mm': 5.33, 'totalprecip_in': 0.21, 'totalsnow_cm': 0.0, 'avgvis_km': 9.6, 'avgvis_miles': 5.0, 'avghumidity': 56.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 86, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Moderate rain', 'icon': '//cdn.weatherapi.com/weather/64x64/day/302.png', 'code': 1189}, 'uv': 6.0}",37.1,22.6,29.4,22.3,5.33,9.6,56.0,1,86,0,0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png,1189
"MANAUS, AMAZONAS, BRAZIL",Manaus,Amazonas,Brazil,-3.11,-60.03,America/Manaus,1703801621,2023-12-28 18:13,1703800800,2023-12-28 18:00,31.0,87.8,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",2.2,3.6,73,ENE,1008.0,29.77,0.0,0.0,71,50,40.5,104.9,10.0,6.0,7.0,6.7,10.8,2023-12-28,"{'maxtemp_c': 32.4, 'maxtemp_f': 90.4, 'mintemp_c': 24.5, 'mintemp_f': 76.1, 'avgtemp_c': 27.2, 'avgtemp_f': 81.0, 'maxwind_mph': 4.0, 'maxwind_kph': 6.5, 'totalprecip_mm': 0.31, 'totalprecip_in': 0.01, 'totalsnow_cm': 0.0, 'avgvis_km': 9.8, 'avgvis_miles': 6.0, 'avghumidity': 81.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 84, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",32.4,24.5,27.2,6.5,0.31,9.8,81.0,1,84,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"MANAUS, AMAZONAS, BRAZIL",Manaus,Amazonas,Brazil,-3.11,-60.03,America/Manaus,1703801621,2023-12-28 18:13,1703800800,2023-12-28 18:00,31.0,87.8,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",2.2,3.6,73,ENE,1008.0,29.77,0.0,0.0,71,50,40.5,104.9,10.0,6.0,7.0,6.7,10.8,2023-12-29,"{'maxtemp_c': 32.5, 'maxtemp_f': 90.6, 'mintemp_c': 23.8, 'mintemp_f': 74.9, 'avgtemp_c': 27.5, 'avgtemp_f': 81.4, 'maxwind_mph': 5.4, 'maxwind_kph': 8.6, 'totalprecip_mm': 6.18, 'totalprecip_in': 0.24, 'totalsnow_cm': 0.0, 'avgvis_km': 9.8, 'avgvis_miles': 6.0, 'avghumidity': 80.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 89, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Moderate rain', 'icon': '//cdn.weatherapi.com/weather/64x64/day/302.png', 'code': 1189}, 'uv': 6.0}",32.5,23.8,27.5,8.6,6.18,9.8,80.0,1,89,0,0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png,1189
"MANAUS, AMAZONAS, BRAZIL",Manaus,Amazonas,Brazil,-3.11,-60.03,America/Manaus,1703801621,2023-12-28 18:13,1703800800,2023-12-28 18:00,31.0,87.8,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",2.2,3.6,73,ENE,1008.0,29.77,0.0,0.0,71,50,40.5,104.9,10.0,6.0,7.0,6.7,10.8,2023-12-30,"{'maxtemp_c': 28.7, 'maxtemp_f': 83.6, 'mintemp_c': 23.6, 'mintemp_f': 74.5, 'avgtemp_c': 25.2, 'avgtemp_f': 77.3, 'maxwind_mph': 4.3, 'maxwind_kph': 6.8, 'totalprecip_mm': 16.64, 'totalprecip_in': 0.66, 'totalsnow_cm': 0.0, 'avgvis_km': 6.5, 'avgvis_miles': 4.0, 'avghumidity': 92.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 89, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Moderate rain', 'icon': '//cdn.weatherapi.com/weather/64x64/day/302.png', 'code': 1189}, 'uv': 6.0}",28.7,23.6,25.2,6.8,16.64,6.5,92.0,1,89,0,0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png,1189
"PALMAS, TOCANTINS, BRAZIL",Palmas,Tocantins,Brazil,-10.22,-48.28,America/Araguaina,1703801640,2023-12-28 19:14,1703800800,2023-12-28 19:00,25.0,77.0,0,"{'text': 'Moderate or heavy rain with thunder', 'icon': '//cdn.weatherapi.com/weather/64x64/night/389.png', 'code': 1276}",3.8,6.1,100,E,1010.0,29.83,0.0,0.0,94,75,27.5,81.5,10.0,6.0,1.0,8.3,13.3,2023-12-28,"{'maxtemp_c': 36.9, 'maxtemp_f': 98.5, 'mintemp_c': 23.1, 'mintemp_f': 73.6, 'avgtemp_c': 28.1, 'avgtemp_f': 82.5, 'maxwind_mph': 7.4, 'maxwind_kph': 11.9, 'totalprecip_mm': 1.25, 'totalprecip_in': 0.05, 'totalsnow_cm': 0.0, 'avgvis_km': 9.7, 'avgvis_miles': 6.0, 'avghumidity': 62.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 85, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",36.9,23.1,28.1,11.9,1.25,9.7,62.0,1,85,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"PALMAS, TOCANTINS, BRAZIL",Palmas,Tocantins,Brazil,-10.22,-48.28,America/Araguaina,1703801640,2023-12-28 19:14,1703800800,2023-12-28 19:00,25.0,77.0,0,"{'text': 'Moderate or heavy rain with thunder', 'icon': '//cdn.weatherapi.com/weather/64x64/night/389.png', 'code': 1276}",3.8,6.1,100,E,1010.0,29.83,0.0,0.0,94,75,27.5,81.5,10.0,6.0,1.0,8.3,13.3,2023-12-29,"{'maxtemp_c': 37.4, 'maxtemp_f': 99.3, 'mintemp_c': 22.8, 'mintemp_f': 73.0, 'avgtemp_c': 28.3, 'avgtemp_f': 83.0, 'maxwind_mph': 7.4, 'maxwind_kph': 11.9, 'totalprecip_mm': 0.41, 'totalprecip_in': 0.02, 'totalsnow_cm': 0.0, 'avgvis_km': 9.6, 'avgvis_miles': 5.0, 'avghumidity': 61.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 84, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",37.4,22.8,28.3,11.9,0.41,9.6,61.0,1,84,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"PALMAS, TOCANTINS, BRAZIL",Palmas,Tocantins,Brazil,-10.22,-48.28,America/Araguaina,1703801640,2023-12-28 19:14,1703800800,2023-12-28 19:00,25.0,77.0,0,"{'text': 'Moderate or heavy rain with thunder', 'icon': '//cdn.weatherapi.com/weather/64x64/night/389.png', 'code': 1276}",3.8,6.1,100,E,1010.0,29.83,0.0,0.0,94,75,27.5,81.5,10.0,6.0,1.0,8.3,13.3,2023-12-30,"{'maxtemp_c': 36.1, 'maxtemp_f': 97.1, 'mintemp_c': 21.3, 'mintemp_f': 70.3, 'avgtemp_c': 26.7, 'avgtemp_f': 80.0, 'maxwind_mph': 7.2, 'maxwind_kph': 11.5, 'totalprecip_mm': 12.82, 'totalprecip_in': 0.5, 'totalsnow_cm': 0.0, 'avgvis_km': 9.5, 'avgvis_miles': 5.0, 'avghumidity': 73.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 85, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Moderate rain', 'icon': '//cdn.weatherapi.com/weather/64x64/day/302.png', 'code': 1189}, 'uv': 6.0}",36.1,21.3,26.7,11.5,12.82,9.5,73.0,1,85,0,0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png,1189
"FORTALEZA, CEARA, BRAZIL",Fortaleza,Ceara,Brazil,-3.32,-41.42,America/Fortaleza,1703801623,2023-12-28 19:13,1703800800,2023-12-28 19:00,29.0,84.2,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",16.1,25.9,60,ENE,1009.0,29.8,0.0,0.0,79,50,34.9,94.8,10.0,6.0,1.0,20.6,33.1,2023-12-28,"{'maxtemp_c': 33.5, 'maxtemp_f': 92.3, 'mintemp_c': 24.2, 'mintemp_f': 75.6, 'avgtemp_c': 27.9, 'avgtemp_f': 82.2, 'maxwind_mph': 9.2, 'maxwind_kph': 14.8, 'totalprecip_mm': 0.54, 'totalprecip_in': 0.02, 'totalsnow_cm': 0.0, 'avgvis_km': 10.0, 'avgvis_miles': 6.0, 'avghumidity': 71.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 85, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",33.5,24.2,27.9,14.8,0.54,10.0,71.0,1,85,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"FORTALEZA, CEARA, BRAZIL",Fortaleza,Ceara,Brazil,-3.32,-41.42,America/Fortaleza,1703801623,2023-12-28 19:13,1703800800,2023-12-28 19:00,29.0,84.2,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",16.1,25.9,60,ENE,1009.0,29.8,0.0,0.0,79,50,34.9,94.8,10.0,6.0,1.0,20.6,33.1,2023-12-29,"{'maxtemp_c': 34.3, 'maxtemp_f': 93.7, 'mintemp_c': 24.0, 'mintemp_f': 75.2, 'avgtemp_c': 27.9, 'avgtemp_f': 82.2, 'maxwind_mph': 10.1, 'maxwind_kph': 16.2, 'totalprecip_mm': 0.43, 'totalprecip_in': 0.02, 'totalsnow_cm': 0.0, 'avgvis_km': 10.0, 'avgvis_miles': 6.0, 'avghumidity': 71.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 88, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",34.3,24.0,27.9,16.2,0.43,10.0,71.0,1,88,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"FORTALEZA, CEARA, BRAZIL",Fortaleza,Ceara,Brazil,-3.32,-41.42,America/Fortaleza,1703801623,2023-12-28 19:13,1703800800,2023-12-28 19:00,29.0,84.2,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",16.1,25.9,60,ENE,1009.0,29.8,0.0,0.0,79,50,34.9,94.8,10.0,6.0,1.0,20.6,33.1,2023-12-30,"{'maxtemp_c': 34.4, 'maxtemp_f': 93.9, 'mintemp_c': 24.4, 'mintemp_f': 75.9, 'avgtemp_c': 27.6, 'avgtemp_f': 81.8, 'maxwind_mph': 8.9, 'maxwind_kph': 14.4, 'totalprecip_mm': 1.14, 'totalprecip_in': 0.04, 'totalsnow_cm': 0.0, 'avgvis_km': 9.9, 'avgvis_miles': 6.0, 'avghumidity': 72.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 89, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",34.4,24.4,27.6,14.4,1.14,9.9,72.0,1,89,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"JOAO PESSOA, PARAIBA, BRAZIL",Joao Pessoa,Paraiba,Brazil,-7.12,-34.87,America/Fortaleza,1703801654,2023-12-28 19:14,1703800800,2023-12-28 19:00,27.0,80.6,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",10.5,16.9,120,ESE,1012.0,29.88,0.02,0.0,79,25,29.7,85.5,10.0,6.0,1.0,14.8,23.8,2023-12-28,"{'maxtemp_c': 29.7, 'maxtemp_f': 85.5, 'mintemp_c': 25.1, 'mintemp_f': 77.1, 'avgtemp_c': 27.0, 'avgtemp_f': 80.5, 'maxwind_mph': 13.4, 'maxwind_kph': 21.6, 'totalprecip_mm': 0.41, 'totalprecip_in': 0.02, 'totalsnow_cm': 0.0, 'avgvis_km': 10.0, 'avgvis_miles': 6.0, 'avghumidity': 71.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 87, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",29.7,25.1,27.0,21.6,0.41,10.0,71.0,1,87,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"JOAO PESSOA, PARAIBA, BRAZIL",Joao Pessoa,Paraiba,Brazil,-7.12,-34.87,America/Fortaleza,1703801654,2023-12-28 19:14,1703800800,2023-12-28 19:00,27.0,80.6,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",10.5,16.9,120,ESE,1012.0,29.88,0.02,0.0,79,25,29.7,85.5,10.0,6.0,1.0,14.8,23.8,2023-12-29,"{'maxtemp_c': 29.6, 'maxtemp_f': 85.3, 'mintemp_c': 24.9, 'mintemp_f': 76.8, 'avgtemp_c': 27.0, 'avgtemp_f': 80.6, 'maxwind_mph': 13.4, 'maxwind_kph': 21.6, 'totalprecip_mm': 0.12, 'totalprecip_in': 0.0, 'totalsnow_cm': 0.0, 'avgvis_km': 10.0, 'avgvis_miles': 6.0, 'avghumidity': 68.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 84, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",29.6,24.9,27.0,21.6,0.12,10.0,68.0,1,84,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"JOAO PESSOA, PARAIBA, BRAZIL",Joao Pessoa,Paraiba,Brazil,-7.12,-34.87,America/Fortaleza,1703801654,2023-12-28 19:14,1703800800,2023-12-28 19:00,27.0,80.6,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",10.5,16.9,120,ESE,1012.0,29.88,0.02,0.0,79,25,29.7,85.5,10.0,6.0,1.0,14.8,23.8,2023-12-30,"{'maxtemp_c': 30.1, 'maxtemp_f': 86.1, 'mintemp_c': 24.6, 'mintemp_f': 76.3, 'avgtemp_c': 26.9, 'avgtemp_f': 80.5, 'maxwind_mph': 14.3, 'maxwind_kph': 23.0, 'totalprecip_mm': 0.21, 'totalprecip_in': 0.01, 'totalsnow_cm': 0.0, 'avgvis_km': 10.0, 'avgvis_miles': 6.0, 'avghumidity': 72.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 82, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",30.1,24.6,26.9,23.0,0.21,10.0,72.0,1,82,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"BOA VISTA, RORAIMA, BRAZIL",Boa Vista,Roraima,Brazil,2.82,-60.67,America/Boa_Vista,1703801638,2023-12-28 18:13,1703800800,2023-12-28 18:00,34.0,93.2,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",6.9,11.2,120,ESE,1008.0,29.77,0.0,0.0,44,25,38.4,101.2,10.0,6.0,8.0,10.8,17.4,2023-12-28,"{'maxtemp_c': 35.2, 'maxtemp_f': 95.3, 'mintemp_c': 24.3, 'mintemp_f': 75.8, 'avgtemp_c': 29.5, 'avgtemp_f': 85.1, 'maxwind_mph': 7.4, 'maxwind_kph': 11.9, 'totalprecip_mm': 0.42, 'totalprecip_in': 0.02, 'totalsnow_cm': 0.0, 'avgvis_km': 10.0, 'avgvis_miles': 6.0, 'avghumidity': 61.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 85, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",35.2,24.3,29.5,11.9,0.42,10.0,61.0,1,85,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
"BOA VISTA, RORAIMA, BRAZIL",Boa Vista,Roraima,Brazil,2.82,-60.67,America/Boa_Vista,1703801638,2023-12-28 18:13,1703800800,2023-12-28 18:00,34.0,93.2,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",6.9,11.2,120,ESE,1008.0,29.77,0.0,0.0,44,25,38.4,101.2,10.0,6.0,8.0,10.8,17.4,2023-12-29,"{'maxtemp_c': 36.0, 'maxtemp_f': 96.9, 'mintemp_c': 25.0, 'mintemp_f': 77.1, 'avgtemp_c': 29.9, 'avgtemp_f': 85.7, 'maxwind_mph': 10.1, 'maxwind_kph': 16.2, 'totalprecip_mm': 2.49, 'totalprecip_in': 0.1, 'totalsnow_cm': 0.0, 'avgvis_km': 9.7, 'avgvis_miles': 6.0, 'avghumidity': 59.0, 'daily_will_it_rain': 1, 'daily_chance_of_rain': 87, 'daily_will_it_snow': 0, 'daily_chance_of_snow': 0, 'condition': {'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}, 'uv': 6.0}",36.0,25.0,29.9,16.2,2.49,9.7,59.0,1,87,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
